date ,open ,high,low,close,adj close,volume,day 
"Jul 10, 2024",147.45,147.45,143.41,146.11,144.98,"4,105,700",1209
"Jul 9, 2024",148,149.62,147.23,147.6,146.45,"2,848,400",1208
"Jul 8, 2024",151.86,151.97,147.79,148.72,147.57,"5,183,800",1207
"Jul 5, 2024",144.54,146.43,144.5,145.65,144.52,"3,562,200",1206
"Jul 3, 2024",145.32,146.23,144.37,144.8,143.68,"1,633,300",1205
"Jul 2, 2024",145.5,146.99,144.46,145.39,144.26,"3,296,400",1204
"Jul 1, 2024",148.34,148.94,145.07,145.74,144.61,"2,638,900",1203
"Jun 28, 2024",147.54,148.71,146.12,148.04,146.89,"12,772,300",1202
"Jun 27, 2024",145.75,147,145.3,146.72,145.58,"2,273,600",1201
"Jun 26, 2024",146.01,147.31,144.92,147.17,146.03,"2,447,000",1200
"Jun 25, 2024",148.48,149.12,146.34,146.77,145.63,"3,367,600",1199
"Jun 24, 2024",147,150.79,146.72,149.69,148.53,"3,933,000",1198
"Jun 21, 2024",143.99,146.27,143.99,146.13,145,"5,652,000",1197
"Jun 20, 2024",142.15,143.77,141.73,143.38,142.27,"2,628,700",1196
"Jun 18, 2024",144.35,144.85,142.42,142.54,141.43,"2,969,500",1195
"Jun 17, 2024",141.35,145.06,140.8,144.97,143.85,"5,006,300",1194
"Jun 14, 2024",143.77,143.8,139.38,141.16,140.06,"5,019,700",1193
"Jun 13, 2024",147.09,147.09,144.55,144.68,143.56,"3,470,600",1192
"Jun 12, 2024",146.34,148.03,145.1,146.78,145.64,"3,064,300",1191
"Jun 11, 2024",148.25,148.37,145.92,146.19,145.06,"3,592,400",1190
"Jun 10, 2024",146.05,148.91,145.57,148.52,147.37,"3,052,900",1189
"Jun 7, 2024",144.63,146.6,144.15,146,144.87,"3,110,800",1188
"Jun 6, 2024",146.7,147.19,145.05,145.13,144,"4,682,900",1187
"Jun 5, 2024",150.5,150.98,146.75,147.35,146.21,"5,746,100",1186
"Jun 4, 2024",152.37,154.19,150.11,150.55,149.38,"4,683,700",1185
"Jun 3, 2024",152.09,154.49,151.38,153.03,151.84,"4,162,500",1184
"May 31, 2024",148.88,156.93,148.76,156.16,154.95,"7,501,000",1183
"May 30, 2024",148.52,150.36,147.92,149.87,148.71,"4,239,400",1182
"May 29, 2024",146.05,148.13,145.5,147.74,146.59,"3,038,500",1181
"May 28, 2024",145,147.44,144.53,147.1,145.96,"4,344,300",1180
"May 24, 2024",144.9,145.73,143.56,145.23,144.1,"3,549,300",1179
"May 23, 2024",142.5,145.58,141.76,144.41,143.29,"6,661,100",1178
"May 22, 2024",140.54,145.67,139.98,143.27,142.16,"18,724,000",1177
"May 21, 2024",156.71,156.84,154.65,155.78,154.57,"6,291,000",1176
"May 20, 2024",159.9,160.8,155.96,156.71,155.49,"4,429,200",1175
"May 17, 2024",160.18,160.47,159.1,160.13,158.89,"4,005,500",1174
"May 16, 2024",160.25,163.65,159.72,160.65,159.4,"5,232,900",1173
"May 15, 2024",160.61,161.08,157.04,157.51,156.29,"2,563,700",1172
"May 14, 2024",160.3,161.6,158.58,158.96,157.73,"2,707,900",1171
"May 13, 2024",164.21,164.4,160.59,160.9,158.56,"2,629,000",1170
"May 10, 2024",164.61,165.65,161.7,163.13,160.76,"2,414,100",1169
"May 9, 2024",159.44,164.4,159.04,164.32,161.93,"2,538,000",1168
"May 8, 2024",159,161.25,158.99,159.59,157.27,"2,678,300",1167
"May 7, 2024",161.07,162.36,159.84,160.41,158.08,"3,492,500",1166
"May 6, 2024",158.04,158.4,156.5,158.35,156.05,"3,314,500",1165
"May 3, 2024",159,160.31,157.81,158.04,155.74,"3,802,200",1164
"May 2, 2024",157.29,158.64,155.8,158.12,155.82,"3,880,000",1163
"May 1, 2024",160.83,161.63,156.33,156.43,154.15,"4,378,000",1162
"Apr 30, 2024",162.45,162.63,160.42,160.98,158.64,"3,534,400",1161
"Apr 29, 2024",164.7,165.72,162.06,163.73,161.35,"2,698,500",1160
"Apr 26, 2024",165.15,166.28,164.14,164.74,162.34,"2,085,500",1159
"Apr 25, 2024",163.89,165.15,163.18,164.44,162.05,"3,141,700",1158
"Apr 24, 2024",165.03,166.54,164.79,165.34,162.94,"2,631,400",1157
"Apr 23, 2024",167.64,168.01,166.1,166.51,164.09,"1,890,300",1156
"Apr 22, 2024",168.76,169.09,166.03,167.11,164.68,"2,155,500",1155
"Apr 19, 2024",167.33,168.47,166.77,168.3,165.85,"3,376,600",1154
"Apr 18, 2024",165.72,167.53,165.09,166.58,164.16,"3,169,500",1153
"Apr 17, 2024",166.76,167.94,163.87,164.47,162.08,"3,700,200",1152
"Apr 16, 2024",165.06,166,162.21,163.32,160.94,"3,450,600",1151
"Apr 15, 2024",169.18,169.8,164.96,165.01,162.61,"5,075,400",1150
"Apr 12, 2024",170.82,171.06,165.78,166.12,163.7,"3,550,800",1149
"Apr 11, 2024",172.79,173.05,170.39,171.33,168.84,"2,247,900",1148
"Apr 10, 2024",169.9,171.86,168.75,171.62,169.12,"2,148,700",1147
"Apr 9, 2024",170,171.74,169.26,171.63,169.13,"1,847,100",1146
"Apr 8, 2024",170.9,172.13,169.62,169.7,167.23,"2,122,900",1145
"Apr 5, 2024",171.62,172.54,170.03,171.77,169.27,"2,333,200",1144
"Apr 4, 2024",176.84,177.23,171.98,172.22,169.72,"3,614,400",1143
"Apr 3, 2024",176.53,177.19,175.1,175.49,172.94,"3,033,900",1142
"Apr 2, 2024",177.65,177.89,175.09,176.24,173.68,"3,022,100",1141
"Apr 1, 2024",178.77,181.86,177.66,177.82,175.23,"3,917,400",1140
"Mar 28, 2024",175,177.4,174.69,177.21,174.63,"3,716,200",1139
"Mar 27, 2024",174.1,175.48,173.54,174.67,172.13,"4,747,100",1138
"Mar 26, 2024",172.63,174.2,172.16,172.64,170.13,"3,512,900",1137
"Mar 25, 2024",170,173.58,169.73,172.66,170.15,"4,262,600",1136
"Mar 22, 2024",170,170.17,168.49,168.63,166.18,"2,443,600",1135
"Mar 21, 2024",170.67,170.88,168.97,170.17,167.7,"2,624,300",1134
"Mar 20, 2024",167.92,170.57,167.38,170.46,167.98,"2,969,700",1133
"Mar 19, 2024",167.07,168.61,166.3,168.21,165.76,"2,290,500",1132
"Mar 18, 2024",163.98,168.19,163.44,167.59,165.15,"3,189,600",1131
"Mar 15, 2024",162.87,165.25,162.71,164.22,161.83,"5,074,900",1130
"Mar 14, 2024",166.76,167.17,163.04,164.31,161.92,"3,365,900",1129
"Mar 13, 2024",167.24,167.54,164.19,166.67,164.25,"5,546,300",1128
"Mar 12, 2024",168.64,169.06,167.53,167.57,165.13,"2,292,100",1127
"Mar 11, 2024",170.19,170.58,166.68,168.07,165.63,"3,142,400",1126
"Mar 8, 2024",171.34,172.29,169.45,169.72,167.25,"3,361,800",1125
"Mar 7, 2024",175,175.27,171.32,171.54,169.05,"3,644,700",1124
"Mar 6, 2024",172.22,175.53,171.6,173.54,171.02,"8,955,200",1123
"Mar 5, 2024",166.06,170.47,165.21,168.58,166.13,"22,986,800",1122
"Mar 4, 2024",153.19,154.77,150.09,150.49,148.3,"9,096,100",1121
"Mar 1, 2024",153.24,155.54,152,155.29,153.03,"4,284,000",1120
"Feb 29, 2024",152.39,153.65,152,152.92,150.7,"4,447,800",1119
"Feb 28, 2024",151.33,152.25,150.65,151.44,149.24,"2,298,300",1118
"Feb 27, 2024",150.79,152.31,150.45,151.99,149.78,"2,851,700",1117
"Feb 26, 2024",150.61,150.95,149.1,150.15,147.97,"3,856,900",1116
"Feb 23, 2024",150.98,152.78,150.41,151.48,149.28,"3,503,600",1115
"Feb 22, 2024",148.79,150.98,147.99,150.34,148.15,"2,503,800",1114
"Feb 21, 2024",149.31,149.85,147.86,148.79,146.63,"2,307,600",1113
"Feb 20, 2024",150,152.11,149.21,149.89,147.71,"3,474,400",1112
"Feb 16, 2024",145.73,150.29,145.13,149.61,146.35,"4,318,400",1111
"Feb 15, 2024",145.79,148.26,145.43,146.33,143.14,"2,807,600",1110
"Feb 14, 2024",144.69,146.09,143.74,145.03,141.87,"2,986,400",1109
"Feb 13, 2024",147.22,147.87,144.59,146.11,142.93,"3,061,800",1108
"Feb 12, 2024",147.52,150.4,147.5,149.4,146.14,"3,492,600",1107
"Feb 9, 2024",147.08,147.57,146.3,146.53,143.34,"2,792,400",1106
"Feb 8, 2024",147.01,149.09,146.85,147.4,144.19,"2,946,900",1105
"Feb 7, 2024",149,149,145.26,146.73,143.53,"3,979,600",1104
"Feb 6, 2024",142.66,144.47,141.46,144.43,141.28,"2,873,200",1103
"Feb 5, 2024",144.22,144.89,141.5,142.33,139.23,"4,697,400",1102
"Feb 2, 2024",143.49,147.04,142.57,145.49,142.32,"3,775,800",1101
"Feb 1, 2024",140.94,144.47,138.5,144.42,141.27,"3,613,900",1100
"Jan 31, 2024",140.53,141.45,138.96,139.08,136.05,"5,804,400",1099
"Jan 30, 2024",140.62,141.2,137.84,140.52,137.46,"2,879,500",1098
"Jan 29, 2024",142.73,142.98,136.35,141.52,138.44,"4,879,000",1097
"Jan 26, 2024",142.89,143,141.64,142.53,139.42,"3,014,800",1096
"Jan 25, 2024",140.28,142.28,139.01,142.18,139.08,"2,566,500",1095
"Jan 24, 2024",141.6,141.8,138.96,139.2,136.17,"2,845,900",1094
"Jan 23, 2024",140.84,141.71,139.85,140.88,137.81,"2,806,800",1093
"Jan 22, 2024",138.4,140.76,137.91,140.36,137.3,"2,778,700",1092
"Jan 19, 2024",137.22,138.6,135.8,138.14,135.13,"3,515,300",1091
"Jan 18, 2024",138.63,139.12,135.67,137.4,134.41,"4,160,700",1090
"Jan 17, 2024",140.08,140.75,138.39,138.74,135.72,"3,566,300",1089
"Jan 16, 2024",142.19,142.46,139.92,141.07,138,"3,482,400",1088
"Jan 12, 2024",142.7,143.15,140.67,140.91,137.84,"2,236,400",1087
"Jan 11, 2024",144.5,144.5,140.99,142.02,138.93,"3,215,300",1086
"Jan 10, 2024",143.38,144.41,142.92,144.09,140.95,"2,777,400",1085
"Jan 9, 2024",141,143.97,140.53,143.77,140.64,"3,664,400",1084
"Jan 8, 2024",140.2,141.99,139.56,141.73,138.64,"3,563,300",1083
"Jan 5, 2024",139.32,141.95,139.32,140.75,137.68,"2,744,200",1082
"Jan 4, 2024",138.86,140.93,137.7,140.25,137.19,"3,903,000",1081
"Jan 3, 2024",142.36,142.97,138.33,138.67,135.65,"4,662,100",1080
"Jan 2, 2024",142.19,144.2,141.58,143.1,139.98,"3,601,500",1079
"Dec 29, 2023",142.02,143.37,141.72,142.42,139.32,"2,515,300",1078
"Dec 28, 2023",142.06,143.11,142,142.54,139.43,"2,146,700",1077
"Dec 27, 2023",140.93,142.73,140.61,142.38,139.28,"2,806,400",1076
"Dec 26, 2023",140,141.44,139.29,141.03,137.96,"2,237,700",1075
"Dec 22, 2023",139.44,140.42,138.63,140.2,137.15,"3,222,800",1074
"Dec 21, 2023",137.95,139.64,137.29,139.37,136.33,"3,980,200",1073
