YEAR,Start_Year,Home_Value,Source
2016,0,195007,zillow
2017,1,199906,zillow 
2018,2,199906,zillow
2019,3,215936,zillow
2020,4,231484,zillow
2021,5,253185,zillow
2022,6,277355,zillow
2023,7,257574,zillow
2024,8,241125,zillow
